Date,Bitcoin_Price,Ethereum_Price
02-02-2024,"43,194.70","2,309.28"
01-02-2024,"43,081.40","2,304.28"
31-01-2024,"42,580.50","2,283.14"
30-01-2024,"42,946.20","2,343.11"
29-01-2024,"43,299.80","2,317.79"
26-01-2024,"41,811.30","2,267.55"
25-01-2024,"39,935.70","2,217.71"
24-01-2024,"40,086.00","2,234.64"
23-01-2024,"39,888.80","2,243.74"
22-01-2024,"39,556.40","2,313.64"
19-01-2024,"41,648.00","2,491.81"
18-01-2024,"41,292.70","2,469.77"
17-01-2024,"42,768.70","2,531.26"
16-01-2024,"43,145.50","2,588.64"
12-01-2024,"42,835.90","2,523.98"
11-01-2024,"46,348.20","2,618.08"
10-01-2024,"46,629.30","2,581.79"
09-01-2024,"46,129.00","2,344.67"
08-01-2024,"46,962.20","2,330.98"
05-01-2024,"44,156.90","2,268.12"
04-01-2024,"44,157.00","2,267.27"
03-01-2024,"42,836.10","2,209.49"
02-01-2024,"44,943.70","2,355.27"
29-12-2023,"42,072.40","2,299.24"
28-12-2023,"42,581.10","2,344.47"
27-12-2023,"43,446.50","2,378.63"
26-12-2023,"42,513.30","2,230.74"
22-12-2023,"43,968.90","2,324.23"
21-12-2023,"43,865.90","2,239.62"
20-12-2023,"43,662.80","2,202.19"
19-12-2023,"42,259.30","2,177.44"
18-12-2023,"42,659.70","2,218.80"
15-12-2023,"41,929.00","2,220.41"
14-12-2023,"43,025.90","2,315.64"
13-12-2023,"42,884.50","2,260.18"
12-12-2023,"41,487.00","2,203.49"
11-12-2023,"41,256.10","2,225.34"
08-12-2023,"44,175.50","2,358.42"
07-12-2023,"43,289.70","2,355.80"
06-12-2023,"43,776.30","2,233.45"
05-12-2023,"44,076.20","2,293.34"
04-12-2023,"41,987.80","2,243.54"
01-12-2023,"38,688.20","2,087.21"
30-11-2023,"37,712.90","2,051.56"
29-11-2023,"37,855.50","2,028.99"
28-11-2023,"37,823.30","2,048.47"
27-11-2023,"37,248.60","2,027.51"
